GENRE	PLACE	LIGHT	ISO	aperture	exposure	lightDetail	object	when	light	genre_old
море, озеро, река	На улице	Дневной свет	200	16	1/250	облачно	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	400	16	1/500	облачно	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	800	0	-	ISO 800 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	1600	0	-	ISO 1600 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	3200	0	-	ISO 3200 не подходит для съемки воды и берега утром или днем	море, озеро, река	утро / день	облачно	пейзаж
море, озеро, река	На улице	Дневной свет	50	2.8	1/500	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	50	4	1/250	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	50	5.6	1/125	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	100	4	1/500	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	100	5.6	1/250	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	100	8	1/125	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	160	4	1/500	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	160	5.6	1/250	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	160	8	1/125	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	200	5.6	1/500	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	200	8	1/250	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	200	11	1/125	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	400	8	1/500	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
море, озеро, река	На улице	Дневной свет	400	11	1/250	пасмурно	море, озеро, река	утро / день	пасмурно	пейзаж
